Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Lifespan,Hospital & Health Care,"Hamburg, Hamburg, Germany",Germany,25386.33,Nutritional support,2020,91.719955,72.565865,209.72847,81.864784
Gartner,Information Technology And Services,"Göteborg, Vaestra Goetaland, Sweden",Sweden,12505.304,Help Desk Support,2020,41.869938,72.277,119.2358,114.73679
University Of Chicago Medicine,Hospital & Health Care,"North Shore, Auckland, New Zealand",New Zealand,3345.3962,Mental health care,2020,84.993645,79.78454,2.2470329,92.456116
Barclaycard,Financial Services,"Partido De Pilar, Buenos Aires, Argentina",Argentina,5489.7915,Mutual Funds,2020,160.82576,71.90268,88.5344,73.213745
Sogeti,Information Technology And Services,"Venezia, Veneto, Italy",Italy,10378.738,Network Management,2020,65.91861,80.075966,76.11811,92.5268
Tech Mahindra,Information Technology And Services,"Argentina, Santiago Del Estero, Argentina",Argentina,26290.203,Email Services,2020,82.92684,0.86263716,71.75575,36.344032
Vertiv Co,Computer Software,"Kuopio, Northern Savo, Finland",Finland,3615.3157,Application Software,2020,57.67182,80.302666,239.88568,88.29144
Tmf Group,Financial Services,"Sorocaba, Sao Paulo, Brazil",Brazil,2457.6143, Portfolio Management,2020,155.09087,76.88472,1.8624802,100.74176
Ge Digital,Computer Software,"Battipaglia, Campania, Italy",Italy,2897.9675,Multimedia Authoring Software,2020,36.426395,61.71352,151.23102,1.2585981
Efi,Computer Software,"Coimbatore, Tamil Nadu, India",India,1635.1837,Operating Systems,2020,43.51622,34.9435,0.88080233,80.72277
Compucom,Information Technology And Services,"Shanghai, Shanghai, China",China,3904.8938,Hardware support,2020,50.508465,0.4087323,116.95711,68.65437
Csra Inc,Information Technology And Services,"Wetzikon, Zurich, Switzerland",Switzerland,5352.4326,Help Desk Support,2020,76.28123,0.6690067,161.38885,68.8044
Morgan Stanley,Financial Services,"Bağcılar, Istanbul, Turkey",Turkey,39154.98,Mutual Funds,2020,98.05512,40.569065,81.504974,34.401184
Epic,Computer Software,"Humanes De Madrid, Madrid, Spain",Spain,6228.7554,Multimedia Authoring Software,2020,69.61432,82.20131,0.61406857,89.68347
Micro Focus,Computer Software,"Moglingen, Baden-Wurttemberg, Germany",Germany,4701.6333,User Interface,2020,70.502045,75.601425,97.56637,87.62656
Peacehealth,Hospital & Health Care,"Bangalore, Karnataka, India",India,5684.342,Special surgical services,2020,111.996826,73.87836,187.9079,87.91017
Uchealth,Hospital & Health Care,"Selatan, East Java, Indonesia",Indonesia,3233.7004,Mental health care,2020,84.80692,58.69182,109.26209,71.09862
Rms,Computer Software,"Charleroi, Hainaut, Belgium",Belgium,1238.1218,User Interface,2020,47.12838,32.66445,128.40718,91.22084
Broadridge,Financial Services,"Maringá, Parana, Brazil",Brazil,5561.1084,Mutual Funds,2020,159.0715,79.74958,109.785995,80.15521
Dalian Wanda Group,Real Estate,"Barrie, Ontario, Canada",Canada,3113.0398,Property Staging,2020,126.3356,76.80329,169.91978,100.40556
Globant,Information Technology And Services,"Moglingen, Baden-Wurttemberg, Germany",Germany,7781.115,Hardware support,2020,97.78603,65.47751,179.235,102.05101
Associated Bank,Financial Services,"Brumunddal, Hedmark, Norway",Norway,3088.3352,Stock Market,2020,175.99895,62.434822,2.1626465,85.67073
Ifc - International Finance Corporation,Financial Services,"Vaxjo, Kronobergs Lan, Sweden",Sweden,2794.115, Portfolio Management,2020,130.82944,69.838974,102.19366,63.982487
Spectrum Health,Hospital & Health Care,"Paterna, Valencia, Spain",Spain,8395.665,Laboratory services,2020,97.25166,54.344776,172.79256,66.93694
Globant,Information Technology And Services,"Prilly, Vaud, Switzerland",Switzerland,7713.593,Network Management,2020,74.92668,0.31092894,130.1981,2.704858
Long & Foster Companies,Real Estate,"Martinez, Buenos Aires, Argentina",Argentina,4830.9077,Building contractors,2020,1.2857983,72.017265,124.957695,1.0598099
Knight Frank,Real Estate,"Palestine, Texas, United States",United States,2552.484,Property Staging,2020,115.270004,42.32948,82.82343,85.8391
Kbc Bank & Verzekering,Financial Services,"Kontich, Antwerpen, Belgium",Belgium,6806.7393,Debt Management,2020,118.282234,65.15622,73.6818,2.1327841
Peacehealth,Hospital & Health Care,"Akre, Hordaland, Norway",Norway,2272.304,Transportation,2020,97.52584,78.33026,217.24759,92.343155
Peacehealth,Hospital & Health Care,"Sursee, Lucerne, Switzerland",Switzerland,4576.4463,Transportation,2020,105.09452,87.19256,141.85803,90.4278
Motorola Solutions,Information Technology And Services,"Vincennes, Ile-De-France, France",France,5016.571,Backup & Disaster Recovery,2020,53.761818,0.9844049,156.8984,74.83219
Providence Health & Services,Hospital & Health Care,"Newmarket, Ontario, Canada",Canada,17586.74,Special surgical services,2020,0.8866903,0.37300396,173.202,90.06556
Old Mutual,Financial Services,"Boulogne-Billancourt, Ile-De-France, France",France,10281.167,Mutual Funds,2020,174.32245,95.6079,188.38995,96.54134
Erasmus Mc,Hospital & Health Care,"Sala, Vaestmanland, Sweden",Sweden,6643.0874,Emergency room services,2020,119.824875,77.320076,208.59111,1.0430162
Legal & General,Financial Services,"Flint, Michigan, United States",United States,4012.1938,Professional Advisory,2020,164.25119,66.62933,200.33223,91.34266
Mercy,Hospital & Health Care,"Vecchiano, Tuscany, Italy",Italy,10822.3545,Transportation,2020,90.173645,0.78586227,0.046735663,88.027824
Tsys,Financial Services,"Stockholm, Stockholm, Sweden",Sweden,5563.6455,Insurance,2020,171.98187,91.958145,194.15585,94.74322
