Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Ca Technologies,Computer Software,"Saint-Georges-De-Poisieux, Centre, France",France,10820.229,Database Management,2020,62.750282,0.7414583,181.08865,89.64344
Splunk,Computer Software,"Julfa, Ras Al Khaimah, United Arab Emirates",United Arab Emirates,2554.257,Personal Productivity Software,2020,49.45907,86.08065,142.703,95.007454
Ramco Systems,Computer Software,"Şişli, Istanbul, Turkey",Turkey,2179.7246,Database Management,2020,56.994602,62.370884,72.2308,90.70039
Robert Bosch Engineering And Business Solutions Ltd.,Information Technology And Services,"Vila Nova De Famalicao, Braga, Portugal",Portugal,7858.7295,Email Services,2020,84.24572,61.142853,158.10179,92.580025
Tata Technologies,Information Technology And Services,"Lowell, Massachusetts, United States",Singapore,5837.8345,Network Management,2020,64.61703,40.38853,120.10165,80.540924
Chicago Title,Real Estate,"Oldenburg, Niedersachsen, Germany",Germany,1678.4583,Selling Real Estate,2020,1.0100117,62.09794,203.00978,92.19664
Niit Technologies Limited,Information Technology And Services,"A, Syddanmark, Denmark",Denmark,7907.007,Managed Print Services,2020,62.371124,70.592674,211.81311,102.60349
Legal & General,Financial Services,"Augsburg, Bayern, Germany",Germany,4521.02,Mutual Funds,2020,146.9905,58.540024,195.32254,97.14858
Ncr Corporation,Information Technology And Services,"Provincia Dell' Aquila, Abruzzo, Italy",Italy,16885.51,Network Management,2020,68.732346,45.650204,159.84357,0.4805129
Hyland,Computer Software,"Scarborough, Ontario, Canada",Canada,2298.01,Multimedia Authoring Software,2020,55.785202,70.85542,76.68721,93.33671
Fresenius Medical Care,Hospital & Health Care,"Mazowsze, Kujawsko-Pomorskie, Poland",Poland,9053.704,Laboratory services,2020,101.29879,33.512486,207.77419,72.92217
Ptc,Computer Software,"Terrassa, Catalonia, Spain",Spain,4640.127,Desktop Publishing,2020,0.5255673,59.805744,176.42508,82.0409
Globant,Information Technology And Services,"Larvik, Vestfold, Norway",Norway,5455.5283,Backup & Disaster Recovery,2020,49.333042,77.657394,196.33713,85.23615
Christus Health,Hospital & Health Care,"Gieten, Drenthe, Netherlands",Netherlands,4747.072,Emergency room services,2020,108.83614,76.13876,216.28436,1.2341683
Sophos,Computer Software,"Waterloo, Ontario, Canada",Canada,2705.3882,Desktop Publishing,2020,62.388454,44.38238,159.06679,1.507934
Brasil Brokers,Real Estate,"Hamilton, Waikato, New Zealand",New Zealand,1344.2075,Architects,2020,119.535225,0.79377514,121.09822,84.04411
Bayada Home Health Care,Hospital & Health Care,"Cuauhtemoc, Zacatecas, Mexico",Mexico,10176.488,Emergency room services,2020,116.78432,0.40835914,222.9223,90.493034
