Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Commonwealth Bank,Financial Services,"Kottayam, Kerala, India",India,18012.188,Mutual Funds,2020,137.25415,49.246727,135.0372,67.24285
Caci International Inc,Information Technology And Services,"Vimercate, Lombardia, Italy",Italy,9719.71,Hardware support,2020,68.093414,86.68127,259.24283,109.81825
Insight,Information Technology And Services,"Chiasso, Ticino, Switzerland",Switzerland,5248.9233,Cloud Services,2020,68.67103,0.32888034,128.46321,66.76831
Informatica,Computer Software,"Martinez, Buenos Aires, Argentina",Argentina,6149.2476,User Interface,2020,1.1048234,80.26847,164.92178,81.58124
Sap Ariba,Computer Software,"Delhi, Delhi, India",India,1896.3942,Desktop Publishing,2020,42.39755,55.234688,164.26067,85.22919
Vmware,Computer Software,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,13111.668,Multimedia Authoring Software,2020,60.440525,49.67641,59.19601,69.88612
Ifs,Computer Software,"Virum, Capital Region, Denmark",Denmark,1547.533,User Interface,2020,44.090313,0.7744337,152.13693,83.2721
Indiana University Health,Hospital & Health Care,"Subiaco, Western Australia, Australia",Australia,5036.19,Emergency room services,2020,95.52768,68.64078,82.19412,97.5945
Autodesk,Computer Software,"Chácara, Minas Gerais, Brazil",Brazil,9658.036,System Software,2020,0.54282886,44.82098,144.41182,1.2558361
Sap Ariba,Computer Software,"Kielce, Swietokrzyskie, Poland",Poland,3510.6472,System Software,2020,1.5216976,67.955376,158.00897,1.1250274
Sap Ariba,Computer Software,"Gurgaon, Haryana, India",India,3503.8777,User Interface,2020,59.963223,88.44062,165.65027,87.45849
Adobe,Computer Software,"Vigo, Galicia, Spain",Spain,10941.152,Desktop Publishing,2020,47.678722,61.6646,187.98543,0.50687516
Royal Lepage,Real Estate,"Baiyu, Xizang, China",China,3119.0498,New Construction,2020,111.802605,47.037018,119.5541,88.52945
Halstead Property,Real Estate,"San Sebastian, Gipuzkoa, Spain",Spain,2000.6436,Property Staging,2020,127.02796,58.410263,191.85454,1.4107484
Softwareone,Computer Software,"Genoa, Liguria, Italy",Italy,2650.4995,Personal Productivity Software,2020,0.63651836,80.91963,3.6276405,97.04517
Fresenius Medical Care,Hospital & Health Care,"Houston, Texas, United States",Singapore,13023.638,Emergency room services,2020,104.169304,53.732586,104.24776,76.84683
The Hartford,Financial Services,"Auckland, Auckland, New Zealand",New Zealand,14212.066,Stock Market,2020,176.0382,53.70998,49.50021,81.78588
Merrill Lynch,Financial Services,"Randburg, Gauteng, South Africa",South Africa,5461.883,Banking,2020,166.65173,0.9154359,108.768715,56.772507
Northwestern Mutual,Financial Services,"Mortsel, Flanders, Belgium",Belgium,22554.889,Banking,2020,163.85072,66.68118,2.5769336,79.56
Bmo Financial Group,Financial Services,"Pune, Maharashtra, India",India,19863.244,Mutual Funds,2020,171.83888,0.48516908,138.51195,68.810646
Csc,Information Technology And Services,"Vaciamadrid, Madrid, Spain",Spain,46611.824,Email Services,2020,117.239525,71.42128,205.69925,82.23611
Vinci Energies,Information Technology And Services,"Bandung, Jawa Barat, Indonesia",Indonesia,6038.9365,IT Consulting,2020,77.19712,67.692986,113.82499,103.485985
F-Secure Corporation,Computer Software,"Stellenbosch, Western Cape, South Africa",South Africa,2461.6763,Multimedia Authoring Software,2020,66.02641,86.4929,174.17422,0.8302043
Irvine Company,Real Estate,"Parow, Western Cape, South Africa",South Africa,1495.42,Building contractors,2020,118.95709,53.82337,96.2313,86.74195
Rush University Medical Center,Hospital & Health Care,"Savo, Pirkanmaa, Finland",Finland,7555.9297,X ray/radiology services,2020,1.179317,74.00129,210.1622,99.68855
Halstead Property,Real Estate,"Tangerang, Banten, Indonesia",Indonesia,1685.3185,Rental and investment properties,2020,117.37527,80.14805,167.70613,93.170876
Allscripts,Computer Software,"Markham, Ontario, Canada",Canada,8127.74,Personal Productivity Software,2020,64.14141,66.831116,127.10682,96.86761
The Corcoran Group,Real Estate,"Coquitlam, British Columbia, Canada",Canada,1081.3486,Home inspection,2020,118.413826,0.2610051,2.2656384,88.79284
Worldpay,Information Technology And Services,"Jebel Ali, Dubai, United Arab Emirates",United Arab Emirates,3665.9917,Cybersecurity,2020,62.660793,44.59359,160.72607,84.66759
Sotheby'S International Realty,Real Estate,"Cordoba, Andalusia, Spain",Spain,4557.3174,New Construction,2020,127.16151,75.18343,130.73154,89.55606
Ifs,Computer Software,"Northbrook, Illinois, United States",United States,1793.2278,Personal Productivity Software,2020,41.639095,49.155952,1.543246,0.9833816
Caliber Home Loans,Financial Services,"Bangalore, Karnataka, India",India,2933.997,Wealth Management,2020,139.23788,48.495274,128.40172,72.30194
Sap Successfactors,Computer Software,"Daira, Dubai, United Arab Emirates",United Arab Emirates,1489.6614,Database Management,2020,36.548595,83.86689,2.806856,79.97486
Ncr Corporation,Information Technology And Services,"Copenhagen, Hovedstaden, Denmark",Denmark,22909.72,Backup & Disaster Recovery,2020,122.44796,76.659325,236.10658,103.51549
[24]7.Ai,Computer Software,"Sariyer, Istanbul, Turkey",Turkey,1655.0453,Multiprogramming,2020,41.058994,69.53973,87.11812,93.97362
Irvine Company,Real Estate,"Barat, West Java, Indonesia",Indonesia,1915.3108,Selling Real Estate,2020,122.37764,61.560463,128.42207,83.58538
Northwestern Mutual,Financial Services,"Herstal, Liege, Belgium",Belgium,15463.628,Insurance,2020,163.01382,54.93724,114.42251,58.227943
Tieto,Information Technology And Services,"Bandung, Jawa Barat, Indonesia",Indonesia,12359.579,Help Desk Support,2020,50.144524,69.75957,143.01146,71.08489
Sabre Corporation,Information Technology And Services,"Nuenen, Noord-Brabant, Netherlands",Netherlands,8490.594,Computer Training,2020,0.8719268,55.831894,212.75114,93.98465
Allen Tate Realtors,Real Estate,"Schiedam, Zuid-Holland, Netherlands",Netherlands,3211.2324,Property consultants,2020,1.830358,1.8070434,210.97754,93.048515
Mindtree,Information Technology And Services,"Savo, Pirkanmaa, Finland",Finland,3639.938,Backup & Disaster Recovery,2020,41.284786,57.38732,175.66705,63.758125
Usaa,Financial Services,"Kochi, Kerala, India",India,12244.58,Insurance,2020,123.42108,57.626633,0.50025606,61.16268
Telekomunikasi Indonesia,Information Technology And Services,"Palermo, Sicily, Italy",Italy,6358.564,Help Desk Support,2020,79.1555,80.613945,117.60984,93.75534
Genesis Healthcare,Hospital & Health Care,"Lucca, Tuscany, Italy",Italy,4188.455,X ray/radiology services,2020,79.91509,54.232475,139.78458,67.79735
Ics,Computer Software,"Buenos Aires, Buenos Aires F.D., Argentina",Argentina,1130.0204,System Software,2020,38.628918,57.135326,0.8129436,82.012405
Splunk,Computer Software,"Pymble, New South Wales, Australia",Australia,2964.172,Application Software,2020,58.04748,78.05904,276.53156,92.47091
Altus Group,Real Estate,"Julfa, Ras Al Khaimah, United Arab Emirates",United Arab Emirates,1863.0402,Rental and investment properties,2020,123.33197,0.63883394,2.6844664,98.12866
Transamerica,Financial Services,"Les Acacias, Geneva, Switzerland",Switzerland,9654.829, Portfolio Management,2020,109.33455,78.967735,163.81567,86.18404
Allscripts,Computer Software,"Siruseri, Tamil Nadu, India",India,9925.204,User Interface,2020,62.68195,1.3909447,225.9487,1.4745417
Chicago Title,Real Estate,"Box, Uusimaa, Finland",Finland,2910.1694,Rental and investment properties,2020,126.81745,81.16008,130.98248,1.7554381
L&T Infotech,Information Technology And Services,"Dougherty, Georgia, United States",United States,19811.459,Managed Print Services,2020,77.38081,70.29393,131.482,73.69633
Telekomunikasi Indonesia,Information Technology And Services,"Mons, Hainaut, Belgium",Belgium,6354.095,Computer Training,2020,0.052000713,47.191208,229.50946,74.70223
Veritas Technologies Llc,Computer Software,"Cape Town, Western Cape, South Africa",South Africa,2958.522,User Interface,2020,0.43124032,1.2413754,94.48092,79.31097
Uhs,Hospital & Health Care,"Kraków, Lesser Poland Voivodeship, Poland",Poland,3264.699,General surgical services,2020,83.57661,50.5232,146.0339,75.80412
Jpmorgan Chase & Co.,Financial Services,"Veenendaal, Utrecht, Netherlands",Netherlands,60910.48,Debt Management,2020,202.21054,56.602165,117.14679,45.598072
Iron Mountain,Information Technology And Services,"Venezia, Veneto, Italy",Italy,8977.939,Hardware support,2020,0.33461446,53.962025,217.29951,102.602455
Bb&T,Financial Services,"Epsom, Auckland, New Zealand",New Zealand,18137.297,Debt Management,2020,171.87218,55.57049,158.68213,59.871338
Efi,Computer Software,"Edenvale, Gauteng, South Africa",South Africa,1557.2003,Multimedia Authoring Software,2020,37.568787,41.868378,1.0799428,89.44124
Factset,Computer Software,"Saint-Etienne-De-Valoux, Rhone-Alpes, France",France,5817.052,Desktop Publishing,2020,59.541348,86.717094,1.3383743,86.14125
