Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Rush University Medical Center,Hospital & Health Care,"Birkerød, Capital Region, Denmark",Denmark,6838.2686,Laboratory services,2020,1.7285174,0.1600454,105.38408,96.458046
Citrix,Computer Software,"Parow, Western Cape, South Africa",South Africa,8756.855,Desktop Publishing,2020,52.505756,86.874146,238.83197,76.94521
Kindred Healthcare,Hospital & Health Care,"Stans, Nidwalden, Switzerland",Switzerland,6468.5444,Transportation,2020,67.17055,53.972317,125.968765,72.79578
Centura Health,Hospital & Health Care,"Guyancourt, Ile-De-France, France",France,3756.5608,X ray/radiology services,2020,79.79921,63.874664,66.15851,70.86969
Syntel,Information Technology And Services,"Tangerang, Banten, Indonesia",Indonesia,12778.084,Computer Training,2020,75.542404,48.819267,129.07227,69.48331
Cadence Design Systems,Computer Software,"Bodø, Nordland, Norway",Norway,3379.0215,Multimedia Authoring Software,2020,42.04429,77.627625,153.18027,84.13686
Hsbc Global Banking And Markets,Financial Services,"Westhill, Aberdeenshire, United Kingdom",Singapore,12937.932,Professional Advisory,2020,2.4119377,57.40596,147.19688,85.16735
Symantec,Computer Software,"Florence, Tuscany, Italy",Italy,9132.142,Desktop Publishing,2020,46.202354,56.096996,151.19421,74.34251
Csg International,Computer Software,"Wellington, Florida, United States",New Zealand,2490.876,Desktop Publishing,2020,59.77992,87.12689,203.61649,89.74833
Epic,Computer Software,"Quart De Poblet, Valencia, Spain",Spain,4657.8394,Operating Systems,2020,46.321083,87.920456,105.09636,83.86659
The Corcoran Group,Real Estate,"Heeze, North Brabant, Netherlands",Netherlands,2316.504,Building contractors,2020,118.37034,73.58322,181.58429,88.35157
Kaiser Permanente,Hospital & Health Care,"Wellington, Florida, United States",New Zealand,74431.836,X ray/radiology services,2020,1.1741645,53.64539,222.86063,18.979864
Adobe,Computer Software,"Alingsås, Vaestra Goetaland, Sweden",Sweden,16921.893,Desktop Publishing,2020,72.46926,65.698,201.1578,79.24275
Brasil Brokers,Real Estate,"Partido De Pilar, Buenos Aires, Argentina",Argentina,2175.1033,Property consultants,2020,120.35659,0.93361133,230.59103,1.2729348
Barfoot & Thompson,Real Estate,"Highlands Ranch, Colorado, United States",United States,1155.6509,Building contractors,2020,121.81159,64.53469,3.3981123,1.1375287
Tyler Technologies,Computer Software,"Vicente Lopez, Buenos Aires, Argentina",Argentina,1962.5234,Database Management,2020,42.58004,49.581493,115.34807,90.25178
