Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Amp,Financial Services,"Hovik, Buskerud, Norway",Norway,4616.07,Capital Restructuring,2020,176.5912,1.2730606,191.44283,95.10447
Erasmus Mc,Hospital & Health Care,"Criciúma, Santa Catarina, Brazil",Brazil,6950.513,X ray/radiology services,2020,111.705505,1.3486865,204.999,77.55704
Fannie Mae,Financial Services,"Bodø, Nordland, Norway",Norway,7858.987,Capital Restructuring,2020,154.92862,71.21051,164.26768,2.104908
Cognizant Technology Solutions,Information Technology And Services,"Cologne, Nordrhein-Westfalen, Germany",Germany,152659.05,Managed Print Services,2020,198.69255,59.283634,186.46533,1.0680686
Northwestern Mutual,Financial Services,"Mons, Hainaut, Belgium",Belgium,16534.447, Portfolio Management,2020,132.27713,26.713852,172.68254,70.73714
First Team Real Estate,Real Estate,"Geel, Antwerpen, Belgium",Belgium,2358.4644,Selling Real Estate,2020,1.2506315,88.9277,1.1309568,94.77523
Spotify,Computer Software,"Asker, Akershus, Norway",Norway,4919.031,Personal Productivity Software,2020,53.591534,75.267685,266.56265,85.04734
Ziprealty,Real Estate,"Lowell, Massachusetts, United States",Singapore,2026.8992,Property consultants,2020,115.34713,49.814663,114.48658,92.13514
Baylor Scott & White Health,Hospital & Health Care,"Stockholm, Stockholm, Sweden",Sweden,4439.4395,X ray/radiology services,2020,111.81963,0.8005119,187.64241,81.64944
Wipro Technologies,Information Technology And Services,"Brumunddal, Hedmark, Norway",Norway,98520.46,Network Management,2020,2.205382,92.250885,250.52379,1.4147964
Fidelity Investments,Financial Services,"Poznan, Wielkopolskie, Poland",Poland,25990.002,Mutual Funds,2020,173.78398,74.275154,193.95123,62.26511
"Lexmark International, Inc.",Information Technology And Services,"Santos, Sao Paulo, Brazil",Brazil,8540.113,Network Management,2020,90.62402,54.168633,204.33228,0.8146171
Snap Inc.,Computer Software,"Dunedin, Otago, New Zealand",New Zealand,1239.6879,Multimedia Authoring Software,2020,39.853943,72.56354,136.60094,55.62906
Unitedhealth Group,Hospital & Health Care,"Oosterhout, Noord-Brabant, Netherlands",Netherlands,57691.727,Transportation,2020,176.98439,0.63445234,146.4066,30.58855
The Reynolds And Reynolds Company,Computer Software,"Manaus, Amazonas, Brazil",Brazil,2989.134,Application Software,2020,0.90023106,75.96403,92.24355,100.76918
Shriram Transport Finance Co. Ltd.,Financial Services,"Oviedo, Asturias, Spain",Spain,2126.187,Tax/Audit Consulting,2020,124.55382,67.34021,135.62047,83.53187
Barfoot & Thompson,Real Estate,"Geel, Antwerpen, Belgium",Belgium,1353.8381,Property consultants,2020,124.3882,0.68719417,1.3840692,1.6113677
"Ansys, Inc.",Computer Software,"Stenungsund, Vaestra Goetaland, Sweden",Sweden,2330.245,System Software,2020,57.748844,47.937927,229.1708,88.119255
Reecenichols Real Estate,Real Estate,"Alcobendas, Madrid, Spain",Spain,2411.2288,Home inspection,2020,118.74426,76.69045,148.27885,88.86496
Freddie Mac,Financial Services,"Carnaxide, Lisbon, Portugal",Portugal,3461.324,Banking,2020,104.96686,2.267405,100.278946,62.833645
Adobe,Computer Software,"Tauxigny, Centre, France",France,18583.459,System Software,2020,67.22601,0.29632849,254.58054,85.46403
