Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Tsys,Financial Services,"Tromsø, Troms, Norway",Norway,3665.2747,Capital Restructuring,2020,142.75378,68.52333,1.3186426,93.04477
Ingram Micro,Information Technology And Services,"Iselin, New Jersey, United States",Singapore,11927.163,Backup & Disaster Recovery,2020,79.23119,74.43463,1.0642142,0.7034625
Edina Realty,Real Estate,"Kuopio, Northern Savo, Finland",Finland,1805.4961,New Construction,2020,111.51738,1.4114298,111.85865,81.29171
Tsys,Financial Services,"Sala, Vaestmanland, Sweden",Sweden,4966.91,Banking,2020,144.4051,80.26511,92.35099,0.37270552
Fresenius Medical Care,Hospital & Health Care,"Penticton, British Columbia, Canada",Canada,16196.1875,Short-term hospitalization,2020,90.478546,73.43031,192.33157,0.8846829
Long & Foster Companies,Real Estate,"Şişli, Istanbul, Turkey",Turkey,6056.205,New Construction,2020,127.00888,69.72148,96.92164,0.7127141
Quest Diagnostics,Hospital & Health Care,"Jakarta Pusat, Jakarta Raya, Indonesia",Indonesia,13264.486,Special surgical services,2020,117.37752,0.5328956,160.11406,2.2431881
Epic,Computer Software,"Accrington, Lancashire, United Kingdom",United Kingdom,8797.433,Operating Systems,2020,47.609604,1.1759045,108.28102,0.44458988
Lj Hooker,Real Estate,"Addison, Illinois, United States",United States,1613.7687,Buying Real Estate,2020,119.11198,68.984665,167.50516,3.093572
Tishman Speyer,Real Estate,"Colonia Cuauhtemoc, Estado De Mexico, Mexico",Mexico,813.91895,Home inspection,2020,118.250336,68.320854,1.4404247,82.25891
Barfoot & Thompson,Real Estate,"Dalian, Liaoning, China",China,1706.4453,Rental and investment properties,2020,1.4325607,0.46291068,178.49039,93.71568
Symantec,Computer Software,"Mazowsze, Kujawsko-Pomorskie, Poland",Poland,10880.771,Multimedia Authoring Software,2020,67.751854,70.8632,218.62068,0.9752463
Csg International,Computer Software,"Udupi, Karnataka, India",India,2033.1334,Desktop Publishing,2020,1.2825601,0.5665924,224.50157,94.01367
Fresenius Medical Care,Hospital & Health Care,"Mazowsze, Kujawsko-Pomorskie, Poland",Poland,4087.3137,Special surgical services,2020,79.515144,49.206207,130.68613,66.983925
Northwestern Mutual,Financial Services,"Carouge, Geneva, Switzerland",Switzerland,31555.5,Tax/Audit Consulting,2020,130.33806,57.51809,180.43478,1.3950905
Aphp,Hospital & Health Care,"Clarens, Vaud, Switzerland",Switzerland,9167.3955,Transportation,2020,101.457726,85.10856,162.74715,88.11575
St. Luke'S Hospital,Hospital & Health Care,"Genève, Geneva, Switzerland",Switzerland,2942.8135,Nutritional support,2020,95.35622,50.10433,109.445206,0.7513985
International Sos,Hospital & Health Care,"Noord, Noord-Brabant, Netherlands",Netherlands,5508.0244,X ray/radiology services,2020,109.24292,80.84949,73.71036,79.09841
Md Anderson Cancer Center,Hospital & Health Care,"Benito Juarez, Mexico City, Mexico",Mexico,9197.971,Laboratory services,2020,86.74389,55.263344,162.16722,66.469604
Intero Real Estate Services,Real Estate,"Bodø, Nordland, Norway",Norway,1003.5738,Building contractors,2020,121.38227,33.501907,128.55551,90.22342
Ust Global,Information Technology And Services,"Vicente Lopez, Buenos Aires, Argentina",Argentina,11003.98,Managed Print Services,2020,0.84765446,55.05055,135.32239,91.05048
Rbc Wealth Management,Financial Services,"Edenvale, Gauteng, South Africa",South Africa,5915.847,Capital Restructuring,2020,134.93292,73.26275,136.82541,102.42666
Principal Financial Group,Financial Services,"Stoney Creek, Ontario, Canada",Canada,9393.2, Portfolio Management,2020,166.34254,59.946835,168.023,94.38978
Erasmus Mc,Hospital & Health Care,"Lasne, Walloon Brabant Province, Belgium",Belgium,8587.108,General surgical services,2020,0.6496253,81.81246,249.28789,96.03208
Microstrategy,Computer Software,"Partido De Pilar, Buenos Aires, Argentina",Argentina,1347.3046,Multimedia Authoring Software,2020,43.143257,54.837475,0.36124718,87.0333
Mantech,Information Technology And Services,"Zabierzow Bochenski, Malopolskie, Poland",Poland,4618.457,Cloud Services,2020,1.0739933,85.15096,207.83998,95.34873
Florida Hospital,Hospital & Health Care,"Criciúma, Santa Catarina, Brazil",Brazil,11908.35,General surgical services,2020,97.834785,59.521427,2.3461032,92.97136
Massachusetts General Hospital,Hospital & Health Care,"Oslo, Oslo, Norway",Norway,7389.122,Emergency room services,2020,90.34923,56.682293,152.25877,73.14156
Autodesk,Computer Software,"Richmond, British Columbia, Canada",Canada,11627.956,Application Software,2020,0.8693127,68.305664,247.18546,87.36102
Syntel,Information Technology And Services,"Jakarta, Jakarta Raya, Indonesia",Indonesia,8640.822,Cybersecurity,2020,0.8375057,51.00348,132.26706,77.75108
Duke University Health System,Hospital & Health Care,"Epsom, Auckland, New Zealand",New Zealand,2805.671,Nutritional support,2020,98.6897,73.01778,84.49273,71.46537
Fairway Independent Mortgage Corporation,Financial Services,"Filderstadt, Baden-Wurttemberg, Germany",Germany,6243.4434,Banking,2020,175.36661,69.18526,177.42464,94.88121
Allen Tate Realtors,Real Estate,"Julfa, Ras Al Khaimah, United Arab Emirates",United Arab Emirates,1958.4451,Home inspection,2020,143.25902,68.69114,204.87114,93.47553
Christus Health,Hospital & Health Care,"Jakarta, Jakarta, Indonesia",Indonesia,7195.2124,Nutritional support,2020,104.67654,69.82701,221.3001,89.23241
Uchealth,Hospital & Health Care,"Diegem, Flanders, Belgium",Belgium,3514.6833,Emergency room services,2020,1.3665036,0.55500895,212.98744,0.54723465
Eclinicalworks,Computer Software,"Grand Rapids, Michigan, United States",Singapore,2032.6465,Operating Systems,2020,48.557404,58.47038,156.18771,89.8311
Ifc - International Finance Corporation,Financial Services,"Helsingborg, Skåne, Sweden",Sweden,2593.4194,Tax/Audit Consulting,2020,128.07225,64.38026,0.9412202,64.82516
Bupa,Hospital & Health Care,"Windsor, Ontario, Canada",Canada,4049.0347,Nutritional support,2020,93.33363,70.181786,66.99137,68.45335
Teksystems,Information Technology And Services,"Risskov, Central Jutland, Denmark",Denmark,9754.902,Cloud Services,2020,80.180016,53.491203,107.02283,90.13447
Alibaba Group,Information Technology And Services,"Partido De Pilar, Buenos Aires, Argentina",Argentina,2736.4453,Cybersecurity,2020,31.856838,52.329105,71.55751,2.853775
Tata Technologies,Information Technology And Services,"Houston, Texas, United States",Singapore,5931.5806,Email Services,2020,67.03715,77.90079,167.14177,102.15506
Jpmorgan Chase & Co.,Financial Services,"Argentina, Santiago Del Estero, Argentina",Argentina,108653.75,Wealth Management,2020,78.1471,53.458656,0.44615805,65.12255
Teradata,Information Technology And Services,"Yogyakarta, Yogyakarta, Indonesia",Indonesia,9834.005,Backup & Disaster Recovery,2020,94.75215,80.89425,217.42801,91.3813
The Corcoran Group,Real Estate,"Westhill, Aberdeenshire, United Kingdom",Singapore,3483.2268,Selling Real Estate,2020,128.57448,56.31145,113.28143,101.476295
Motorola Solutions,Information Technology And Services,"Letchworth Garden City, Hertfordshire, United Kingdom",United Kingdom,13222.491,Cybersecurity,2020,81.58596,48.442474,131.94072,99.626114
Itc Infotech,Information Technology And Services,"Göteborg, Vaestra Goetaland, Sweden",Sweden,2962.4224,Computer Training,2020,49.40495,37.464386,157.75456,74.49848
Reecenichols Real Estate,Real Estate,"Alcorcon, Madrid, Spain",Spain,2317.5305,Buying Real Estate,2020,123.348656,58.037704,201.32747,98.505165
Aon,Financial Services,"İStanbul, Istanbul, Turkey",Turkey,19686.645,Mutual Funds,2020,99.62648,38.314972,95.156425,52.33161
Nutanix,Computer Software,"Carolina, Maranhao, Brazil",Brazil,2711.8105,User Interface,2020,42.505013,1.3038229,207.79373,93.550255
Fraser Health Authority,Hospital & Health Care,"Jumeirah, Dubai, United Arab Emirates",United Arab Emirates,3.6761978,Special surgical services,2020,107.70393,63.167137,177.50218,109.381195
Equifax,Financial Services,"Ieper, West-Vlaanderen, Belgium",Belgium,3463.7927,Mutual Funds,2020,171.01921,51.21382,125.784424,76.62185
Nuance Communications,Computer Software,"Hefei, Anhui, China",China,5949.369,Desktop Publishing,2020,49.960144,75.8288,164.45958,85.31936
Bayada Home Health Care,Hospital & Health Care,"Morelia, Michoacan, Mexico",Mexico,3351.817,Mental health care,2020,100.23908,0.6729772,1.4085724,79.61954
Baylor Scott & White Health,Hospital & Health Care,"Conegliano, Veneto, Italy",Italy,8401.811,Blood services,2020,128.34245,67.21703,117.60018,99.08267
Molina Healthcare,Hospital & Health Care,"Baden, Aargau, Switzerland",Switzerland,3639.6777,Blood services,2020,92.22518,59.39508,100.234764,115.633354
Henry Ford Health System,Hospital & Health Care,"Markham, Ontario, Canada",Canada,4808.718,General surgical services,2020,99.38157,75.71565,106.10961,80.13194
Ally Financial Inc.,Financial Services,"Liverpool, New South Wales, Australia",Australia,8712.183,Debt Management,2020,156.04018,74.46038,111.13319,95.63241
Berkshire Hathaway Homeservices Georgia Properties,Real Estate,"Oakville, Ontario, Canada",Canada,1501.9401,Architects,2020,128.98195,1.295111,187.82687,100.13808
Related Companies,Real Estate,"Windisch, Aargau, Switzerland",Switzerland,1181.7611,Rental and investment properties,2020,113.15476,59.26965,86.87154,97.123535
