Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Diebold Nixdorf,Financial Services,"Argentina, Santiago Del Estero, Argentina",Argentina,9968.373,Mutual Funds,2020,2.1059575,88.02965,254.62753,1.059389
"Ansys, Inc.",Computer Software,"Bonn, Nordrhein-Westfalen, Germany",Germany,1852.8967,Multiprogramming,2020,58.46353,37.0256,206.77632,92.605225
Jda Software,Computer Software,"Willebroek, Antwerpen, Belgium",Belgium,3219.0444,Operating Systems,2020,53.846962,56.131683,118.0327,109.77358
Fifth Third Bank,Financial Services,"Colombo, Western, Sri Lanka",Singapore,9776.585, Portfolio Management,2020,3.1303806,0.5687643,127.53468,74.8492
Centene Corporation,Hospital & Health Care,"Peking, Beijing, China",China,8764.107,X ray/radiology services,2020,80.92794,66.84583,253.15334,77.314255
Amc,Hospital & Health Care,"Julfa, Ras Al Khaimah, United Arab Emirates",United Arab Emirates,6901.654,Short-term hospitalization,2020,89.077675,53.33059,82.03095,83.168106
Softtek,Information Technology And Services,"North Melbourne, Victoria, Australia",Australia,4022.3926,Help Desk Support,2020,0.49806097,75.297455,149.05978,1.4399354
Hyland,Computer Software,"Langley, British Columbia, Canada",Canada,2072.315,Database Management,2020,54.946796,97.203804,132.97525,83.2661
Dell Emc,Information Technology And Services,"Warsaw, Mazovia, Poland",Poland,36132.66,Backup & Disaster Recovery,2020,82.69426,53.809616,141.03447,40.689022
Csra Inc,Information Technology And Services,"Hyderābād, Telangana, India",Singapore,2367.4075,Cloud Services,2020,35.879253,54.34147,171.19266,67.44813
Amadeus It Group,Information Technology And Services,"Vila Nova De Famalicao, Braga, Portugal",Portugal,12207.387,Help Desk Support,2020,2.1087787,2.920674,2.1835413,1.1397408
Dimension Data,Information Technology And Services,"Tiruchchirappalli, Tamil Nadu, India",India,13901.995,Managed Print Services,2020,60.796906,65.98578,1.8147874,92.575035
Partners Healthcare,Hospital & Health Care,"Bakırköy, Istanbul, Turkey",Turkey,3699.5632,General surgical services,2020,2.6055098,82.33766,90.40992,1.5629716
Vanke,Real Estate,"Danderyd, Stockholm, Sweden",Sweden,1176.9954,Building contractors,2020,117.59618,51.861553,191.11635,72.7274
Gfi Informatique,Information Technology And Services,"Chinghochen, Xinjiang, China",China,3373.1682,Backup & Disaster Recovery,2020,104.04744,51.31918,137.18202,88.31671
Md Anderson Cancer Center,Hospital & Health Care,"Benito Juarez, Mexico City, Mexico",Mexico,10516.067,X ray/radiology services,2020,110.429474,51.374897,1.1153818,70.003044
Earthlink,Information Technology And Services,"Palmerston North, Wellington, New Zealand",New Zealand,10211.777,Hardware support,2020,50.14389,66.500244,128.47884,92.15069
Vinci Energies,Information Technology And Services,"Cuauhtemoc, Mexico, Mexico",Mexico,4107.4824,Computer Training,2020,72.317314,58.95516,101.544914,60.11
Citi,Financial Services,"Rivonia, Gauteng, South Africa",South Africa,82384.46, Portfolio Management,2020,236.81023,56.102295,86.127235,0.7341327
Teradata,Information Technology And Services,"Sharjah, Sharjah, United Arab Emirates",United Arab Emirates,8527.202,Cloud Services,2020,62.58072,42.822258,78.71656,70.72324
Nasdaq,Financial Services,"Middelfart, Syddanmark, Denmark",Denmark,5018.9077,Tax/Audit Consulting,2020,153.43245,53.342255,188.81265,107.23787
Wipro Technologies,Information Technology And Services,"Fortaleza, Ceará, Brazil",Brazil,88780.266,Backup & Disaster Recovery,2020,126.720116,0.52154475,147.55623,0.45685145
