Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Asurion,Information Technology And Services,"Holte, Capital Region, Denmark",Denmark,4427.217,Help Desk Support,2020,40.85056,73.0597,79.27573,83.01153
Yale New Haven Hospital,Hospital & Health Care,"Bath, Bath And North East Somerset, United Kingdom",United Kingdom,2905.088,Blood services,2020,115.7218,42.877254,2.8880877,0.684888
Servicenow,Computer Software,"Kartal, Istanbul, Turkey",Turkey,6726.4175,Application Software,2020,48.598534,60.249012,158.47646,1.0981897
Westfield,Real Estate,"Hillerod, Hovedstaden, Denmark",Denmark,2813.0103,Architects,2020,123.77777,80.73716,224.03568,93.23846
Splunk,Computer Software,"Julfa, Ras Al Khaimah, United Arab Emirates",United Arab Emirates,1712.3759,Multiprogramming,2020,45.006912,0.4943195,122.431114,0.8090924
Fifth Third Bank,Financial Services,"Pato Branco, Parana, Brazil",Brazil,16203.966,Wealth Management,2020,160.61588,75.86569,183.8081,96.655396
Broadridge,Financial Services,"Larvik, Vestfold, Norway",Norway,7226.8564,Banking,2020,157.33524,0.7009245,190.6625,97.572624
Epicor Software,Computer Software,"Mariano Moreno, Buenos Aires, Argentina",Argentina,2628.2212,System Software,2020,47.197014,0.7885787,1.2573613,1.5951713
Molina Healthcare,Hospital & Health Care,"Sundbyberg, Stockholm, Sweden",Sweden,4827.992,Laboratory services,2020,93.4822,0.58881867,198.27834,71.207565
Lifespan,Hospital & Health Care,"Amadora, Lisbon, Portugal",Portugal,16365.025,Transportation,2020,69.28068,38.947693,160.43121,52.627693
Avanade,Information Technology And Services,"Fornebu, Akershus, Norway",Norway,8103.966,Hardware support,2020,89.00797,68.11064,2.4720664,95.92288
Nationale-Nederlanden,Financial Services,"Christchurch, Canterbury, New Zealand",New Zealand,2879.1846,Professional Advisory,2020,110.68144,52.579132,150.22025,82.4719
Ifs,Computer Software,"Johannesburg, Gauteng, South Africa",South Africa,3125.6663,Personal Productivity Software,2020,0.598202,85.67804,246.4777,1.2549047
L&T Infotech,Information Technology And Services,"Bonn, Nordrhein-Westfalen, Germany",Germany,16079.264,Hardware support,2020,77.640686,50.55422,103.230095,1.0268211
Watson Realty Corp.,Real Estate,"Terrassa, Catalonia, Spain",Spain,2113.0103,Selling Real Estate,2020,123.16366,68.11627,137.98293,0.49250457
Symantec,Computer Software,"North Shore, Auckland, New Zealand",New Zealand,15170.099,Personal Productivity Software,2020,61.201466,71.78137,173.42175,87.587425
Bmo Financial Group,Financial Services,"Pinerolo, Piedmont, Italy",Italy,20460.092,Mutual Funds,2020,130.29993,82.103294,281.54245,78.80323
Vancouver Coastal Health,Hospital & Health Care,"Suzhou, Jiangsu, China",China,2334.125,Laboratory services,2020,85.23477,77.38533,139.74004,74.985306
Peacehealth,Hospital & Health Care,"Bangalore, Karnataka, India",India,5376.1963,Short-term hospitalization,2020,0.7721883,49.559933,198.00172,98.03343
Asurion,Information Technology And Services,"Aabenraa, Syddanmark, Denmark",Denmark,7708.371,IT Consulting,2020,63.87113,1.2730597,264.09027,94.136024
Lifespan,Hospital & Health Care,"Lyon, Auvergne-Rhône-Alpes, France",France,14708.364,Blood services,2020,0.6945903,94.093666,139.19156,63.26503
Macquarie Group,Financial Services,"Sariyer, Istanbul, Turkey",Turkey,14935.137,Capital Restructuring,2020,172.6396,51.544666,61.872963,77.04882
Mckesson,Hospital & Health Care,"Basel, Basel-City, Switzerland",Switzerland,9960.347,Blood services,2020,77.79123,56.684303,148.162,71.87243
Bayada Home Health Care,Hospital & Health Care,"Morelia, Michoacan, Mexico",Mexico,4747.7627,Nutritional support,2020,101.15367,54.777554,1.3273841,81.3552
First Team Real Estate,Real Estate,"Geel, Antwerpen, Belgium",Belgium,2340.779,Buying Real Estate,2020,122.44306,0.43787417,154.16853,92.28736
Teradata,Information Technology And Services,"Yogyakarta, Yogyakarta, Indonesia",Indonesia,11971.62,Cloud Services,2020,43.91479,67.51295,190.2999,88.27993
Tech Data,Information Technology And Services,"Puebla, Puebla, Mexico",Mexico,7439.291,Hardware support,2020,61.14989,53.94627,59.515137,76.71898
Cardinal Health,Hospital & Health Care,"Roodepoort, Gauteng, South Africa",South Africa,12328.99,General surgical services,2020,112.00061,70.055214,115.349655,69.46881
Csg International,Computer Software,"Rennes, Bretagne, France",France,2386.6868,Multiprogramming,2020,57.758575,60.327477,109.7011,96.03502
Merrill Lynch,Financial Services,"Chrysopolis, Istanbul, Turkey",Turkey,19365.865,Tax/Audit Consulting,2020,166.24654,63.74651,156.74623,61.10496
Lopes Consultoria De Imóveis - Imóveis De Terceiros,Real Estate,"Ernākulam, Kerala, India",India,1487.7294,Property consultants,2020,118.25606,63.67545,135.42972,87.82687
Massmutual Financial Group,Financial Services,"Farsta, Stockholm, Sweden",Sweden,6188.2104,Banking,2020,141.83546,40.490944,41.877117,81.15179
Yardi,Computer Software,"Brossard, Quebec, Canada",Canada,2619.8623,Desktop Publishing,2020,43.330524,47.48547,80.94472,84.81802
Fraser Health Authority,Hospital & Health Care,"Hyderābād, Telangana, India",Singapore,3428.5063,Laboratory services,2020,97.307236,67.661705,169.60258,91.771324
Cmc Ltd,Information Technology And Services,"Lysaker, Akershus, Norway",Norway,7984.954,IT Consulting,2020,76.98751,66.923004,183.7842,88.16332
Homesmart,Real Estate,"City Of Johannesburg Metropolitan Municipality, Gauteng, South Africa",South Africa,1028.9445,New Construction,2020,128.81429,38.326717,168.58806,80.74323
Halstead Property,Real Estate,"Julfa, Ras Al Khaimah, United Arab Emirates",United Arab Emirates,1584.8932,Selling Real Estate,2020,2.3616996,1.7852181,217.00548,86.11967
Ptc,Computer Software,"Iselin, New Jersey, United States",Singapore,7558.1465,Database Management,2020,60.600113,65.707565,139.11604,86.4546
Sapient,Information Technology And Services,"Hangzhou, Zhejiang, China",China,7681.1704,Cybersecurity,2020,84.452995,76.35262,183.50346,114.134514
Nationwide Childrens Hospital,Hospital & Health Care,"Norrtälje, Stockholm, Sweden",Sweden,3141.5496,Emergency room services,2020,95.59212,69.9422,134.57506,83.23931
Hcl Technologies (Infrastructure Services Division),Information Technology And Services,"Amadora, Lisbon, Portugal",Portugal,4739.5757,Backup & Disaster Recovery,2020,47.348965,43.166893,160.48564,70.27697
Globallogic,Computer Software,"Copenhagen, Capital Region, Denmark",Denmark,7529.3203,User Interface,2020,45.9581,68.786545,148.24063,76.45523
Worldpay,Information Technology And Services,"Vimercate, Lombardia, Italy",Italy,2844.7822,Computer Training,2020,36.27356,30.393812,78.88737,79.64535
Baylor Scott & White Health,Hospital & Health Care,"Lakhnau, Uttar Pradesh, India",India,8199.488,Mental health care,2020,123.613625,74.4061,204.87459,86.88421
Gartner,Information Technology And Services,"Cape Town, Western Cape, South Africa",South Africa,8417.709,Computer Training,2020,0.56539875,54.940544,180.76428,75.40004
Amadeus It Group,Information Technology And Services,"Istanbul, Istanbul, Turkey",Turkey,7088.2876,Hardware support,2020,65.1448,0.92888105,164.01721,92.5583
