Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Micro Focus,Computer Software,"Katowice, Slaskie, Poland",Poland,3082.2402,System Software,2020,44.046665,37.6,91.50299,83.00496
Ncr Corporation,Information Technology And Services,"Selatan, East Java, Indonesia",Indonesia,14060.515,Computer Training,2020,0.3858272,65.62125,132.60432,67.053635
Ims Health,Information Technology And Services,"Palmerston North, Wellington, New Zealand",New Zealand,5709.13,Network Management,2020,82.55557,0.52648133,162.5016,98.150215
Baylor Scott & White Health,Hospital & Health Care,"Lecce, Puglia, Italy",Italy,10445.647,Nutritional support,2020,102.7354,49.362206,0.61541456,89.28073
Molina Healthcare,Hospital & Health Care,"Lund, Skåne, Sweden",Sweden,7913.0234,Emergency room services,2020,126.18055,69.21023,111.46834,99.16982
Compucom,Information Technology And Services,"Roswell, Georgia, United States",United States,4200.4956,IT Consulting,2020,82.35965,63.879234,170.03653,0.5503521
Cadence Design Systems,Computer Software,"Dale I Sunnfjord, Sogn Og Fjordane, Norway",Norway,4032.7576,Personal Productivity Software,2020,50.778023,51.590046,203.15935,90.49214
Mckesson,Hospital & Health Care,"Selatan, East Java, Indonesia",Indonesia,17180.758,Nutritional support,2020,111.05476,65.65557,146.80711,71.56678
Kb Home,Real Estate,"Santa Clara, California, United States",Singapore,1929.3611,Home inspection,2020,124.53532,58.773647,94.19529,86.87711
First Data Corporation,Financial Services,"Grafton, Auckland, New Zealand",New Zealand,8900.978,Debt Management,2020,118.36446,63.427715,219.63736,66.14142
Indra,Information Technology And Services,"Box, Uusimaa, Finland",Finland,12097.46,Hardware support,2020,41.78846,44.399197,136.80453,59.105446
Massmutual Financial Group,Financial Services,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,5127.2627,Banking,2020,136.57648,45.270412,1.0263792,92.50351
Ramco Systems,Computer Software,"Savo, Pirkanmaa, Finland",Finland,1789.7605,Multimedia Authoring Software,2020,0.7860433,80.282936,110.55008,84.82915
Oracle,Information Technology And Services,"José Bonifácio, Sao Paulo, Brazil",Brazil,135369.86,Cybersecurity,2020,160.62262,0.4398059,218.41847,17.413681
Alibaba Group,Information Technology And Services,"Ashburn, Virginia, United States",Singapore,4405.4814,IT Consulting,2020,76.13648,0.6797196,193.96196,110.66838
Fiserv,Information Technology And Services,"Holte, Capital Region, Denmark",Denmark,17059.307,Computer Training,2020,103.22469,1.1243918,170.72629,75.50319
Royal Lepage,Real Estate,"Taveiro, Coimbra, Portugal",Portugal,5041.9424,Buying Real Estate,2020,116.89999,71.12694,173.06136,89.26543
Centene Corporation,Hospital & Health Care,"China, Nuevo León, Mexico",Mexico,7629.689,Transportation,2020,116.20035,77.489235,146.39313,0.5629276
Financial Industry Regulatory Authority (Finra),Financial Services,"Suzhou, Jiangsu, China",China,4376.145,Wealth Management,2020,183.0977,66.13272,228.14804,91.08748
Sicredi,Financial Services,"Dudley, Dudley, United Kingdom",United Kingdom,3593.0244,Capital Restructuring,2020,137.17267,3.1942127,1.2891681,77.85234
Amedisys Home Health & Hospice,Hospital & Health Care,"Trieste, Friuli-Venezia Giulia, Italy",Italy,6482.1396,Mental health care,2020,96.51901,92.746704,1.4080756,94.97801
Allianz,Financial Services,"Linköping, Östergötland, Sweden",Sweden,14188.095,Debt Management,2020,152.00545,67.491745,0.3732091,56.70955
The Agency,Real Estate,"Aachen, North Rhine-Westphalia, Germany",Germany,1704.813,New Construction,2020,121.34545,91.36656,1.698662,92.213715
Hyland,Computer Software,"Rutherford, New Jersey, United States",United States,1442.1248,User Interface,2020,45.79866,60.617874,81.9753,0.6984968
Westfield,Real Estate,"Jebel Ali, Dubai, United Arab Emirates",United Arab Emirates,3013.7698,Buying Real Estate,2020,2.0450225,62.093227,152.0673,89.142784
Primerica,Financial Services,"Jumeirah, Dubai, United Arab Emirates",United Arab Emirates,24417.14,Mutual Funds,2020,162.40411,77.80249,118.59001,78.40075
Bentley Systems,Computer Software,"Stockholm, Stockholms Lan, Sweden",Sweden,1752.5001,Operating Systems,2020,38.163998,34.797657,141.26714,0.7424824
New York Life Insurance Company,Financial Services,"Hojbjerg, Central Jutland, Denmark",Denmark,10340.433, Portfolio Management,2020,114.5633,48.054344,126.56794,62.795418
Fairview Health Services,Hospital & Health Care,"Visakhapatnam, Andhra Pradesh, India",India,6747.2656,X ray/radiology services,2020,107.74791,2.0848336,275.08054,92.598114
Robert Bosch Engineering And Business Solutions Ltd.,Information Technology And Services,"Jakarta, Jakarta, Indonesia",Indonesia,3638.262,Cloud Services,2020,40.77117,34.66144,98.48665,60.006084
Informatica,Computer Software,"City Of West Torrens, South Australia, Australia",Australia,2728.5496,Desktop Publishing,2020,37.60695,43.339138,149.65395,84.69324
Commonwealth Bank,Financial Services,"Coventry, Coventry, United Kingdom",United Kingdom,28353.02, Portfolio Management,2020,170.54465,1.2638898,199.37059,83.520744
Edward Jones,Financial Services,"Visby, Gotland, Sweden",Sweden,27706.49,Debt Management,2020,1.4596264,69.5852,177.77737,73.9227
Northside Hospital,Hospital & Health Care,"Juarez, Mexico, Mexico",Mexico,3234.874,Emergency room services,2020,79.85134,37.204144,203.87984,78.54527
Mcgrath Estate Agents,Real Estate,"Bodø, Nordland, Norway",Norway,1622.2545,Buying Real Estate,2020,1.7460756,70.20184,203.20161,90.261246
Johnson & Johnson,Hospital & Health Care,"Kristiansand, Vest-Agder, Norway",Norway,36545.496,Mental health care,2020,1.1151724,0.6191261,94.067,36.110874
Brasil Brokers,Real Estate,"Bekasi, West Java, Indonesia",Indonesia,1448.8138,Selling Real Estate,2020,117.46042,46.011265,191.56587,1.7812842
Adobe,Computer Software,"Barcelona, Catalonia, Spain",Spain,10312.207,Operating Systems,2020,60.933865,59.859596,74.492424,72.539474
