Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Blackrock,Financial Services,"Salerno, Campania, Italy",Italy,8649.695,Mutual Funds,2020,137.93277,0.44668514,178.29486,65.62546
Blackbaud,Computer Software,"Olsztyn, Warminsko-Mazurskie, Poland",Poland,3162.9106,Application Software,2020,59.46457,88.27383,231.33821,0.75913864
Absa,Financial Services,"Iselin, New Jersey, United States",Singapore,24259.12,Capital Restructuring,2020,183.39102,64.34754,241.7345,80.41454
Fresenius Medical Care,Hospital & Health Care,"Penrose, Auckland, New Zealand",New Zealand,9446.121,Mental health care,2020,109.75843,69.29878,1.5734227,74.272545
Alliance Residential Company,Real Estate,"Swift Current, Saskatchewan, Canada",Canada,2015.6484,Rental and investment properties,2020,125.7655,73.14247,136.79117,83.32664
Verifone,Financial Services,"Cirencester, Gloucestershire, United Kingdom",United Kingdom,3416.3853,Insurance,2020,161.25343,67.27333,262.507,1.6443474
Long & Foster Companies,Real Estate,"Bhubaneswar, Orissa, India",India,6806.501,Rental and investment properties,2020,2.114571,69.86095,89.76995,82.5617
Irvine Company,Real Estate,"Parow, Western Cape, South Africa",South Africa,1756.917,Rental and investment properties,2020,114.79402,80.592224,1.8950863,89.67937
Sophos,Computer Software,"Jebel Ali, Dubai, United Arab Emirates",United Arab Emirates,1854.9415,Database Management,2020,0.4963202,73.18996,122.948975,89.129234
Momentum,Financial Services,"İStanbul, Istanbul, Turkey",Turkey,3263.418,Tax/Audit Consulting,2020,187.5827,76.98409,194.31581,86.631294
Sutton Group,Real Estate,"Palma De Mallorca, Balearic Islands, Spain",Spain,1585.3663,Building contractors,2020,118.96001,0.5470553,203.36293,0.9785077
Morgan Stanley,Financial Services,"Bağcılar, Istanbul, Turkey",Turkey,53045.46,Banking,2020,204.23401,67.22414,247.01622,56.444977
Pitney Bowes,Information Technology And Services,"Thiruvananthapuram, Kerala, India",India,6116.0327,Cybersecurity,2020,40.01423,62.15197,178.67316,71.114395
Mount Sinai Health System,Hospital & Health Care,"Gijon, Asturias, Spain",Spain,4144.281,Emergency room services,2020,0.6339845,58.62908,184.37201,78.67545
Igt,Computer Software,"Malmö, Skåne, Sweden",Sweden,3425.3123,System Software,2020,53.819096,52.976395,81.42856,75.425224
Cartus,Real Estate,"Matosinhos, Porto, Portugal",Portugal,1477.2202,Selling Real Estate,2020,124.90724,68.44707,113.61863,1.5054771
Intero Real Estate Services,Real Estate,"Wroclaw, Dolnoslaskie, Poland",Poland,2717.1748,Architects,2020,120.44989,2.476353,163.86792,87.58832
Swedish Medical Center,Hospital & Health Care,"Plymouth, Minnesota, United States",United States,3128.5757,Laboratory services,2020,89.13954,48.825947,129.91217,68.47354
Fairway Independent Mortgage Corporation,Financial Services,"Jakarta, Jakarta Raya, Indonesia",Indonesia,2812.345,Insurance,2020,132.69112,50.831875,115.39428,77.41469
Tieto,Information Technology And Services,"Bekasi, Jawa Barat, Indonesia",Indonesia,12350.698,Cloud Services,2020,106.14471,64.59973,194.05444,101.907936
Cleveland Clinic,Hospital & Health Care,"Lisbon, Lisbon, Portugal",Portugal,13120.17,Transportation,2020,112.683525,64.1509,115.11881,59.88603
Globant,Information Technology And Services,"Birmingham, Alabama, United States",Canada,3834.198,IT Consulting,2020,75.61688,73.06521,102.00076,72.794136
Vanke,Real Estate,"Danderyd, Stockholm, Sweden",Sweden,1099.2283,Property Staging,2020,115.08983,64.945595,92.76197,1.6404239
M&T Bank,Financial Services,"Gliwice, Slaskie, Poland",Poland,10023.284,Stock Market,2020,115.49619,55.554035,262.1508,74.40242
Tieto,Information Technology And Services,"Vaerlose, Hovedstaden, Denmark",Denmark,6592.076,Email Services,2020,66.96497,33.781437,177.27365,74.658005
Halstead Property,Real Estate,"Hefei, Anhui, China",China,1488.2108,Selling Real Estate,2020,129.25453,90.307846,270.14035,96.53694
Jpmorgan Chase & Co.,Financial Services,"Caldwell, Idaho, United States",United States,87305.61,Capital Restructuring,2020,250.56638,51.750492,151.18289,34.768703
Bb&T,Financial Services,"Whitby, Ontario, Canada",Canada,20628.615,Tax/Audit Consulting,2020,184.92464,72.733345,206.10101,0.9021849
The Keyes Company,Real Estate,"Belgrano, Santiago Del Estero, Argentina",Argentina,2267.528,Building contractors,2020,125.053604,0.55050784,189.62468,95.07613
Orlando Health,Hospital & Health Care,"Bağcılar, Istanbul, Turkey",Turkey,6612.1885,Laboratory services,2020,113.77326,91.2896,2.3646898,0.6146211
Damac Properties,Real Estate,"Ehningen, Baden-Württemberg Region, Germany",Germany,1396.6503,Property consultants,2020,1.5336943,52.052814,157.86258,0.89019597
Opentext,Computer Software,"Kartal, Istanbul, Turkey",Turkey,4642.734,Personal Productivity Software,2020,45.92235,59.217285,69.2882,76.56725
Transamerica,Financial Services,"Aarau, Aargau, Switzerland",Switzerland,4137.4834,Mutual Funds,2020,134.817,1.3994548,82.62232,78.30561
Amedisys Home Health & Hospice,Hospital & Health Care,"Culver City, California, United States",United States,1983.9305,Mental health care,2020,94.39622,60.30735,1.8329892,79.1436
Csc,Information Technology And Services,"Thiruvananthapuram, Kerala, India",India,41540.414,Cybersecurity,2020,96.021706,76.04467,153.38829,61.123478
Yardi,Computer Software,"Xicheng District, Beijing, China",China,1428.5261,Multiprogramming,2020,47.224125,76.58816,124.35069,0.63193965
Rms,Computer Software,"Gennevilliers, Île-De-France, France",France,2551.7686,Multimedia Authoring Software,2020,0.90147007,0.81038684,194.5918,88.919205
Aegon,Financial Services,"Gaziosmanpaşa, Istanbul, Turkey",Turkey,4916.289,Insurance,2020,0.64045745,69.38413,1.9352537,77.01849
Royal Lepage,Real Estate,"Chevreuse, Ile-De-France, France",France,5206.9385,Rental and investment properties,2020,117.2215,92.305435,262.84842,90.13423
Long & Foster Companies,Real Estate,"Lasne, Walloon Brabant Province, Belgium",Belgium,4222.902,Property Staging,2020,115.15542,75.19623,135.2629,75.396645
Adobe,Computer Software,"Borås, Vaestra Goetaland, Sweden",Sweden,12115.866,User Interface,2020,60.243446,71.15226,163.29428,70.84091
Iqvia,Hospital & Health Care,"Sao Jose Do Rio Preto, Sao Paulo, Brazil",Brazil,24391.637,Laboratory services,2020,133.72874,55.695164,182.58372,77.69059
Docusign,Computer Software,"Birmingham, Alabama, United States",Canada,2598.497,Multimedia Authoring Software,2020,59.384315,69.25802,128.44789,101.73341
Knight Frank,Real Estate,"Meckenheim, North Rhine-Westphalia, Germany",Germany,2488.4255,Property consultants,2020,1.7409173,56.600365,144.65474,0.7522619
Gartner,Information Technology And Services,"Erkrath, Nordrhein-Westfalen, Germany",Germany,13992.552,Email Services,2020,80.56036,73.63629,221.0472,93.83681
Sicredi,Financial Services,"Härnösand, Västernorrland, Sweden",Sweden,5448.7686,Stock Market,2020,176.84334,80.338455,127.16237,104.554726
Edward Jones,Financial Services,"Colomiers, Occitanie, France",France,15047.953,Mutual Funds,2020,1.4729416,66.73814,3.1181583,61.741642
Navy Federal Credit Union,Financial Services,"Vadodara, Gujarat, India",India,9304.561,Debt Management,2020,161.87416,1.4574137,1.7765074,85.57883
Genesys,Computer Software,"Wilrijk, Antwerp Province, Belgium",Belgium,3798.4983,Personal Productivity Software,2020,56.782993,69.743645,177.14058,91.35225
Tsys,Financial Services,"Fredericia, Syddanmark, Denmark",Denmark,3718.9485,Insurance,2020,154.48851,0.96627086,143.76222,85.02948
Sicredi,Financial Services,"Visby, Gotland, Sweden",Sweden,7798.21,Banking,2020,164.31639,93.879295,193.70186,85.13028
Ncr Corporation,Information Technology And Services,"Birkerød, Capital Region, Denmark",Denmark,11861.223,Managed Print Services,2020,0.6302258,42.586044,131.41277,0.43830222
Novant Health,Hospital & Health Care,"Nieuwegein, Utrecht, Netherlands",Netherlands,7792.117,Mental health care,2020,115.51678,1.5430689,165.74701,96.52269
Halstead Property,Real Estate,"Pune, Maharashtra, India",India,1375.5883,Rental and investment properties,2020,123.75253,0.97833776,196.16566,95.77638
Tsys,Financial Services,"Stockholm, Stockholm, Sweden",Sweden,3196.2146,Stock Market,2020,129.09381,0.79789835,82.11591,80.13034
Pegasystems,Computer Software,"Södertälje, Stockholm, Sweden",Sweden,1973.1354,Operating Systems,2020,46.633244,71.82286,147.25839,96.3154
Charles Schwab,Financial Services,"Sandviga, Aust-Agder, Norway",Norway,11646.479,Banking,2020,175.60576,63.444767,129.77185,79.388725
Primerica,Financial Services,"Portugal, Para, Brazil",Portugal,12380.868,Mutual Funds,2020,158.49207,0.6224064,65.02265,52.081497
Dassault Systèmes,Computer Software,"Cuauhtemoc, Mexico, Mexico",Mexico,10782.913,Desktop Publishing,2020,51.190147,77.80901,163.76888,81.20882
