Supplier Name,Function,Region,Country,Resources,Service,Year,Avg. Cost($),Rating,Average Delivery Time,Number of Escalations
Hewlett-Packard,Information Technology And Services,"Glostrup, Capital Region, Denmark",Denmark,139447.56,Help Desk Support,2020,239.62967,0.9884004,227.93373,82.686714
Factset,Computer Software,"Turku, Finland Proper, Finland",Finland,2676.4253,System Software,2020,1.488934,0.71028626,106.3131,0.63517714
Mindtree,Information Technology And Services,"Ghaziabad, Uttar Pradesh, India",India,4536.564,Managed Print Services,2020,48.87317,57.057293,1.2610817,73.27713
Cadence Design Systems,Computer Software,"Surabaya, Jawa Timur, Indonesia",Indonesia,4134.372,Multimedia Authoring Software,2020,50.052753,1.2201738,79.37281,87.207085
Barfoot & Thompson,Real Estate,"Monmouth Junction, New Jersey, United States",United States,1690.4001,Building contractors,2020,121.475365,74.61156,164.04834,90.41103
Chicago Title,Real Estate,"Lacombe, Alberta, Canada",Canada,1357.7303,Architects,2020,114.30001,60.644917,173.53267,87.12881
Fraser Health Authority,Hospital & Health Care,"London, Ontario, Canada",Canada,5781.346,Short-term hospitalization,2020,1.089194,78.378586,1.5806631,103.044914
Damac Properties,Real Estate,"Savo, Pirkanmaa, Finland",Finland,1278.3107,Rental and investment properties,2020,115.774376,0.5833136,1.0985415,78.92015
Trend Micro,Computer Software,"Sandown, Gauteng, South Africa",South Africa,2638.3027,Desktop Publishing,2020,42.18685,49.94131,125.03137,80.27507
Barclaycard,Financial Services,"Federal, Entre Rios, Argentina",Argentina,4282.491, Portfolio Management,2020,139.28102,61.25484,108.84101,97.39644
Citrix,Computer Software,"Oirschot, Noord-Brabant, Netherlands",Netherlands,4623.2466,Multimedia Authoring Software,2020,48.69474,49.009323,157.03299,0.8434066
Homesmart,Real Estate,"Paris, Île-De-France, France",France,1913.977,Property Staging,2020,119.15515,73.01058,207.72174,95.55693
Vumc,Hospital & Health Care,"Shipley, Bradford, United Kingdom",United Kingdom,2925.5117,Short-term hospitalization,2020,80.50758,62.53039,88.05333,76.731415
Equifax,Financial Services,"Sierre, Valais, Switzerland",Switzerland,7401.2163,Stock Market,2020,170.09433,0.59289557,69.37847,86.42146
Ascension,Hospital & Health Care,"Chandigarh, Chandigarh, India",India,2731.8801,Transportation,2020,75.12614,52.67184,128.96387,78.60148
Cvent,Computer Software,"La Plata, Buenos Aires, Argentina",Argentina,2957.1755,Multiprogramming,2020,65.44947,75.985214,106.08628,97.89631
Tech Data,Information Technology And Services,"Antony, Ile-De-France, France",France,7620.635,Network Management,2020,55.28971,71.87832,108.48965,1.5105888
Kaiser Permanente,Hospital & Health Care,"Wavre, Brabant Wallon, Belgium",Belgium,70117.99,Nutritional support,2020,3.278651,87.38719,176.5401,34.19583
Fico®,Computer Software,"Mendoza, Mendoza, Argentina",Argentina,3378.5688,Personal Productivity Software,2020,61.611336,60.267982,247.49919,91.66758
"Realpage, Inc.",Computer Software,"Drøbak, Akershus, Norway",Norway,2879.1624,Desktop Publishing,2020,46.499218,75.88196,234.04692,93.7978
The Mathworks,Computer Software,"Daira, Dubai, United Arab Emirates",United Arab Emirates,1739.3859,Application Software,2020,46.549004,60.177776,74.18291,87.767136
Bbc Worldwide,Computer Software,"Vila Nova De Famalicao, Braga, Portugal",Portugal,2455.1301,Multimedia Authoring Software,2020,0.9244727,67.95478,189.61395,93.410164
Ptc,Computer Software,"Alcobendas, Madrid, Spain",Spain,5065.2397,Desktop Publishing,2020,52.236156,0.8111123,96.081696,78.93728
Hexaware Technologies,Information Technology And Services,"Claremont, Western Cape, South Africa",South Africa,5047.55,Hardware support,2020,44.087082,38.110718,107.46933,70.828
Fidelity Investments,Financial Services,"Lille, Hauts-De-France, France",France,21535.28,Wealth Management,2020,153.48686,61.447784,199.82065,43.515606
Intero Real Estate Services,Real Estate,"Silkeborg, Central Jutland, Denmark",Denmark,2990.401,Property Staging,2020,127.42136,72.522064,83.6035,84.261856
Dell,Information Technology And Services,"Göteborg, Vaestra Goetaland, Sweden",Sweden,47182.652,Email Services,2020,108.90968,52.040096,90.56434,22.422802
Tmf Group,Financial Services,"London, Greater London, United Kingdom",United Kingdom,1963.6682,Professional Advisory,2020,158.51752,71.57259,0.9796598,70.661705
Westfield,Real Estate,"Sharjah, Sharjah, United Arab Emirates",United Arab Emirates,1539.0262,Rental and investment properties,2020,109.47661,1.0205075,1.4522601,83.57293
